ticker,name,type
,John Hancock Convert Private Income Fund,Private
,Kennedy Lewis Capital Company,Private
,KKR Enhanced US Direct Lending Fund-I Inc.,Private
,KKR FS Income Trust,Private
,Lafayette Square USA Inc.,Private
,Lord Abbett Private Credit Fund,Private
,MCG Capital Corp.,Private
,MidCap Apollo Institutional Private Lending,Private
,Monroe Capital Income Plus Corp.,Private
,Morris Business Development Co.,Private
,MSD Investment Corp,Private
,Muzinich BDC Inc.,Private
,New Mountain Guardian IV BDC LLC,Private
,New Mountain Private Credit Fund,Private
,NewPoint Capital Inc.,Private
,NMF SLF I Inc.,Private
,North Haven Private Income Fund LLC,Private
,Nuveen Churchill Private Capital Income Fund,Private
,Oaktree Gardens OLP LLC,Private
,Oaktree Strategic Credit Fund,Private
,Oaktree Strategic Income II Inc.,Private
,OHA Investment Corp.,Private
,Overland Advantage,Private
,Pharos Capital BDC Inc.,Private
,Phillip Street Middle Market Lending Fund LLC,Private
,PIMCO Capital Solutions BDC Corp.,Private
,Prospect Floating Rate and Alternative Income Fund Inc.,Private
,SCP Private Credit Income BDC LLC,Private
,Sierra Income Corp.,Private
,Silver Capital Holdings LLC,Private
,Silver Point Specialty Lending Fund,Private
,Sixth Street Lending Partners,Private
,SLR Senior Investment Corp,Private
,StepStone Private Credit Fund LLC,Private
,Stone Point Credit Corp,Private
,T Series Middle Market Loan Fund LLC,Private
,T. Rowe Price OHA Select Private Credit Fund,Private
,TCW Direct Lending LLC,Private
,TCW Direct Lending VII LLC,Private
,TCW Direct Lending VIII LLC,Private
,TPG Twin Brook Capital Income Fund,Private
,United Capital Consultants Inc.,Private
,Varagon Capital Corp,Private
,Venture Lending and Leasing IX Inc.,Private
,Venture Lending and Leasing VIII Inc.,Private
,Vista Credit Strategic Lending Corp.,Private
,Wells Fargo Direct Lending Corp.,Private
